6183,state:4,Time:13:17:49,Lat:35.55488000,Lng:139.65572167,ax:-0.0033333333333333335,ay:-0.0011111111111111111,az:   0.0,q:359.875,rV:     0,lV:     0,Camera:captured!
13748,state:4,Time:13:17:57,Lat:35.55488000,Lng:139.65572000,ax:-0.0033333333333333335,ay:0.017777777777777778,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
14661,state:5,Time:13:17:58,Lat:35.55488000,Lng:139.65571833,ax:  1.18,ay:0.35777777777777775,az:-0.3288888888888889,q:358.6875,rV:    60,lV:    60,Camera:0
15844,state:6,Time:13:17:59,Lat:35.55488000,Lng:139.65571833,ax:0.27555555555555555,ay: -0.31,az:0.1288888888888889,q: 0.625,rV:    60,lV:    60,Camera:0
16521,state:6,Time:13:17:59,Lat:35.55488000,Lng:139.65571833,ax:-1.1377777777777778,ay:0.7044444444444444,az:0.9177777777777778,q:   0.0,rV:    60,lV:    60,Camera:0
17214,state:6,Time:13:18:00,Lat:35.55488167,Lng:139.65571667,ax:0.19666666666666666,ay: -0.43,az:0.11888888888888889,q:358.5625,rV:    60,lV:    60,Camera:0
17222,state:6,Time:13:18:00,Lat:35.55488167,Lng:139.65571667,ax:0.08555555555555555,ay:-0.8411111111111111,az:0.23333333333333334,q:358.4375,rV:    70,lV:    50,Camera:0
17461,state:6,Time:13:18:00,Lat:35.55488167,Lng:139.65571667,ax:-0.6455555555555555,ay:0.07777777777777778,az:0.39666666666666667,q:353.6875,rV:    70,lV:    50,Camera:0
17567,state:6,Time:13:18:01,Lat:35.55488167,Lng:139.65571500,ax:-0.21666666666666667,ay:-0.48444444444444446,az:0.43777777777777777,q:349.3125,rV:    70,lV:    50,Camera:0
17607,state:6,Time:13:18:01,Lat:35.55488167,Lng:139.65571500,ax:  0.46,ay:-0.28555555555555556,az:0.5522222222222222,q:348.4375,rV:    70,lV:    50,Camera:0
17698,state:6,Time:13:18:01,Lat:35.55488167,Lng:139.65571500,ax:0.5233333333333333,ay:0.08333333333333333,az:  0.84,q:344.9375,rV:    70,lV:    50,Camera:0
