5856,state:4,Time:13:29:16,Lat:35.55492667,Lng:139.65565000,ax:-0.0022222222222222222,ay:0.0011111111111111111,az:0.0022222222222222222,q: 360.0,rV:     0,lV:     0,Camera:captured!
13766,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.0022222222222222222,ay:-0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
13801,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:   0.0,ay:-0.0011111111111111111,az:-0.0011111111111111111,q:359.9375,rV:    60,lV:    60,Camera:0
13824,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.04111111111111111,ay:0.7422222222222222,az:0.03222222222222222,q:359.9375,rV:    60,lV:    60,Camera:0
13849,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.0033333333333333335,ay:1.0844444444444445,az:0.03111111111111111,q:359.875,rV:    60,lV:    60,Camera:0
13871,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.043333333333333335,ay:0.5611111111111111,az:-0.03111111111111111,q:359.9375,rV:    60,lV:    60,Camera:0
13902,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.07555555555555556,ay:0.2644444444444444,az:0.0077777777777777776,q:   0.0,rV:    60,lV:    60,Camera:0
13924,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.26555555555555554,ay:3.2866666666666666,az:-0.21888888888888888,q: 0.125,rV:    60,lV:    60,Camera:0
13948,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.1322222222222222,ay:-0.008888888888888889,az:0.058888888888888886,q: 0.125,rV:    60,lV:    60,Camera:0
13975,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.11222222222222222,ay:-0.3244444444444444,az:0.0077777777777777776,q: 0.125,rV:    60,lV:    60,Camera:0
13998,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.08666666666666667,ay:0.44666666666666666,az:0.4077777777777778,q:359.75,rV:    60,lV:    60,Camera:0
14025,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.3244444444444444,ay:-2.473333333333333,az:0.02666666666666667,q:359.5625,rV:    60,lV:    60,Camera:0
14048,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.3566666666666667,ay:-0.5144444444444445,az:0.12222222222222222,q:359.375,rV:    60,lV:    60,Camera:0
14076,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.07888888888888888,ay:0.5211111111111111,az:0.2877777777777778,q:358.9375,rV:    60,lV:    60,Camera:0
14101,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:-0.09444444444444444,ay:-0.04888888888888889,az:0.2822222222222222,q: 358.5,rV:    60,lV:    60,Camera:0
14155,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax: -0.32,ay:-0.8633333333333333,az:-0.19666666666666666,q: 358.5,rV:    60,lV:    60,Camera:0
14202,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.10111111111111111,ay:0.5988888888888889,az: -0.52,q:359.5625,rV:    60,lV:    60,Camera:0
14252,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.3888888888888889,ay:-0.8255555555555556,az:0.07111111111111111,q:359.9375,rV:    60,lV:    60,Camera:0
14303,state:4,Time:13:29:24,Lat:35.55492667,Lng:139.65565000,ax:0.6644444444444444,ay:0.28555555555555556,az:-0.05444444444444444,q:359.875,rV:    60,lV:    60,Camera:0
14350,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.35333333333333333,ay:-0.5311111111111111,az:0.13666666666666666,q:359.75,rV:    60,lV:    60,Camera:0
14398,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.14888888888888888,ay:-0.3811111111111111,az:0.25555555555555554,q:359.25,rV:    60,lV:    60,Camera:0
14446,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.5266666666666666,ay:0.4388888888888889,az:  0.55,q:358.4375,rV:    60,lV:    60,Camera:0
14486,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.6666666666666666,ay:-0.6922222222222222,az:  0.08,q:357.4375,rV:    60,lV:    60,Camera:0
14536,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.20555555555555555,ay:  0.45,az:-0.24333333333333335,q:358.1875,rV:    60,lV:    60,Camera:0
14593,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.29444444444444445,ay:-0.16777777777777778,az:-0.08666666666666667,q:358.75,rV:    60,lV:    60,Camera:0
14619,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.09111111111111111,ay:0.07111111111111111,az:-0.08888888888888889,q:358.8125,rV:    60,lV:    60,Camera:0
14679,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.24222222222222223,ay: -0.08,az:0.22555555555555556,q:358.625,rV:    60,lV:    60,Camera:0
14723,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.09666666666666666,ay:0.3288888888888889,az:0.36333333333333334,q:357.75,rV:    60,lV:    60,Camera:0
14765,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.4666666666666667,ay:0.15555555555555556,az:-0.011111111111111112,q:357.4375,rV:    60,lV:    60,Camera:0
14821,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.09777777777777778,ay:0.5755555555555556,az:-0.23444444444444446,q:357.9375,rV:    60,lV:    60,Camera:0
14865,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.2611111111111111,ay:-0.4077777777777778,az:-0.24888888888888888,q:358.5625,rV:    60,lV:    60,Camera:0
14907,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.12666666666666668,ay:0.32222222222222224,az:0.18333333333333332,q:358.25,rV:    60,lV:    60,Camera:0
14954,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.30444444444444446,ay:   0.2,az:-0.034444444444444444,q:358.25,rV:    60,lV:    60,Camera:0
15001,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.6166666666666667,ay:-0.4255555555555556,az:0.09555555555555556,q:358.125,rV:    60,lV:    60,Camera:0
15053,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.2511111111111111,ay: -0.16,az:0.043333333333333335,q: 358.0,rV:    60,lV:    60,Camera:0
15100,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.3788888888888889,ay:-0.13555555555555557,az:0.03777777777777778,q:357.8125,rV:    60,lV:    60,Camera:0
15146,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:-0.7744444444444445,ay:-0.14444444444444443,az:-0.12111111111111111,q:358.125,rV:    60,lV:    60,Camera:0
15196,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.7366666666666667,ay:   0.2,az: -0.01,q: 358.5,rV:    60,lV:    60,Camera:0
15245,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.3055555555555556,ay:0.7766666666666666,az:0.06888888888888889,q: 358.5,rV:    60,lV:    60,Camera:0
15279,state:4,Time:13:29:25,Lat:35.55492667,Lng:139.65565000,ax:0.19555555555555557,ay: -0.91,az:0.20555555555555555,q:358.25,rV:    60,lV:    60,Camera:0
15328,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:0.45444444444444443,ay:-0.5088888888888888,az:0.29777777777777775,q:357.1875,rV:    60,lV:    60,Camera:0
15376,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax: -0.99,ay:1.1511111111111112,az:0.6355555555555555,q: 355.5,rV:    60,lV:    60,Camera:0
15427,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:0.0811111111111111,ay:-0.30444444444444446,az:-0.024444444444444446,q:355.1875,rV:    60,lV:    60,Camera:0
15467,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:-0.48777777777777775,ay:-0.4111111111111111,az: -0.16,q:355.625,rV:    60,lV:    60,Camera:0
15519,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:-0.28888888888888886,ay:-0.12222222222222222,az:-0.07222222222222222,q:356.25,rV:    60,lV:    60,Camera:0
15568,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:0.1388888888888889,ay:-0.7711111111111111,az: -0.24,q:356.875,rV:    60,lV:    60,Camera:0
15611,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:0.6488888888888888,ay:0.20777777777777778,az:-0.10444444444444445,q: 357.0,rV:    60,lV:    60,Camera:0
15654,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:-0.051111111111111114,ay:-0.26222222222222225,az:0.6033333333333334,q:356.375,rV:    60,lV:    60,Camera:0
15709,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:-0.4855555555555556,ay:-0.3622222222222222,az:0.43222222222222223,q:354.9375,rV:    60,lV:    60,Camera:0
15751,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:0.2811111111111111,ay:0.9355555555555556,az:-0.034444444444444444,q:354.6875,rV:    60,lV:    60,Camera:0
15802,state:4,Time:13:29:26,Lat:35.55492667,Lng:139.65565000,ax:-0.07666666666666666,ay:-0.47444444444444445,az:-0.17333333333333334,q:355.0625,rV:    60,lV:    60,Camera:0
