5792,state:4,Time:13:38:43,Lat:35.55494500,Lng:139.65563167,ax:   0.0,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:captured!
13673,state:4,Time:13:38:50,Lat:35.55493333,Lng:139.65562000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0022222222222222222,q:359.9375,rV:     0,lV:     0,Camera:0
14750,state:5,Time:13:38:51,Lat:35.55493000,Lng:139.65561833,ax:-0.5322222222222223,ay:-0.38555555555555554,az:0.2733333333333333,q:353.3125,rV:    60,lV:    60,Camera:0
15956,state:6,Time:13:38:53,Lat:35.55492667,Lng:139.65561500,ax:0.2088888888888889,ay:-0.2966666666666667,az:-0.24222222222222223,q: 349.5,rV:    60,lV:    60,Camera:0
16771,state:6,Time:13:38:54,Lat:35.55492500,Lng:139.65561333,ax:-0.37666666666666665,ay:0.042222222222222223,az:0.25666666666666665,q:344.9375,rV:    60,lV:    60,Camera:0
17604,state:6,Time:13:38:54,Lat:35.55492500,Lng:139.65561333,ax:0.5577777777777778,ay:0.023333333333333334,az: -0.15,q: 342.5,rV:    60,lV:    60,Camera:0
17612,state:6,Time:13:38:54,Lat:35.55492500,Lng:139.65561333,ax:0.005555555555555556,ay:-0.06111111111111111,az:-0.03888888888888889,q: 342.5,rV:    50,lV:    70,Camera:0
17941,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:1.3788888888888888,ay:0.3411111111111111,az:-0.9344444444444444,q:349.75,rV:    50,lV:    70,Camera:0
18057,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax: -0.18,ay:0.2588888888888889,az:0.04777777777777778,q:352.625,rV:    50,lV:    70,Camera:0
18175,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax: -0.04,ay:0.6411111111111111,az:-0.3433333333333333,q:355.4375,rV:    50,lV:    70,Camera:0
18255,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:-0.014444444444444444,ay:0.08333333333333333,az:-0.5622222222222222,q:357.25,rV:    50,lV:    70,Camera:0
18343,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:0.49444444444444446,ay:-0.05555555555555555,az:-0.4922222222222222,q:359.3125,rV:    50,lV:    70,Camera:0
18426,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:-0.7955555555555556,ay:0.43666666666666665,az:-0.26222222222222225,q:  0.25,rV:    50,lV:    70,Camera:0
18469,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:0.08444444444444445,ay:-0.5544444444444444,az:-0.15333333333333332,q:0.6875,rV:    50,lV:    70,Camera:0
18520,state:6,Time:13:38:55,Lat:35.55492333,Lng:139.65561167,ax:-0.17222222222222222,ay:-0.10111111111111111,az:-0.5144444444444445,q:1.3125,rV:    50,lV:    70,Camera:0
