5777,state:4,Time:13:42:26,Lat:35.55490833,Lng:139.65565667,ax:-0.12777777777777777,ay:  0.06,az:  0.19,q: 1.375,rV:     0,lV:     0,Camera:captured!
13199,state:4,Time:13:42:33,Lat:35.55490833,Lng:139.65565667,ax:0.17333333333333334,ay:0.015555555555555555,az:-0.12111111111111111,q:357.4375,rV:     0,lV:     0,Camera:0
14201,state:5,Time:13:42:34,Lat:35.55490833,Lng:139.65565667,ax:0.17222222222222222,ay:-0.27444444444444444,az: -0.04,q:357.75,rV:    60,lV:    60,Camera:0
15364,state:6,Time:13:42:35,Lat:35.55490833,Lng:139.65565667,ax:-0.1688888888888889,ay:-0.4622222222222222,az:-0.06888888888888889,q: 358.0,rV:    60,lV:    60,Camera:0
16055,state:6,Time:13:42:36,Lat:35.55490833,Lng:139.65565667,ax:-0.011111111111111112,ay:-0.05444444444444444,az:-0.04777777777777778,q:356.625,rV:    60,lV:    60,Camera:0
16721,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:-0.03333333333333333,ay:-0.24888888888888888,az:-0.11222222222222222,q: 357.5,rV:    60,lV:    60,Camera:0
16729,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:-0.17444444444444446,ay:  0.05,az:-0.13111111111111112,q:357.5625,rV:    70,lV:    50,Camera:0
17013,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:0.012222222222222223,ay:   0.0,az:0.09666666666666666,q:357.5625,rV:    70,lV:    50,Camera:0
17055,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:0.0811111111111111,ay:0.03777777777777778,az:-0.06333333333333334,q:357.5625,rV:    70,lV:    50,Camera:0
17138,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:0.10222222222222223,ay:0.04555555555555556,az:-0.08222222222222222,q:357.875,rV:    70,lV:    50,Camera:0
17185,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:-0.035555555555555556,ay:0.14888888888888888,az:-0.04777777777777778,q:357.875,rV:    70,lV:    50,Camera:0
17307,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:-0.10888888888888888,ay:0.035555555555555556,az: -0.05,q:358.1875,rV:    70,lV:    50,Camera:0
17379,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:-0.012222222222222223,ay:0.04111111111111111,az:0.03111111111111111,q:358.1875,rV:    70,lV:    50,Camera:0
17460,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:0.15666666666666668,ay:-0.12666666666666668,az:-0.0033333333333333335,q:358.375,rV:    70,lV:    50,Camera:0
17503,state:6,Time:13:42:37,Lat:35.55490833,Lng:139.65565667,ax:0.10222222222222223,ay:0.05333333333333334,az:-0.07555555555555556,q:358.4375,rV:    70,lV:    50,Camera:0
17515,state:6,Time:13:42:38,Lat:35.55490833,Lng:139.65565667,ax:0.06777777777777778,ay:0.07111111111111111,az:-0.08777777777777777,q: 358.5,rV:    70,lV:    50,Camera:0
17622,state:6,Time:13:42:38,Lat:35.55490833,Lng:139.65565667,ax:-0.0077777777777777776,ay:-0.09111111111111111,az:-0.04888888888888889,q:358.625,rV:    70,lV:    50,Camera:0
17629,state:6,Time:13:42:38,Lat:35.55490833,Lng:139.65565667,ax:-0.0077777777777777776,ay:-0.09111111111111111,az:-0.04888888888888889,q:358.6875,rV:    70,lV:    50,Camera:0
17921,state:6,Time:13:42:38,Lat:35.55490833,Lng:139.65565667,ax:-0.008888888888888889,ay:-0.07111111111111111,az:-0.02666666666666667,q:358.9375,rV:    70,lV:    50,Camera:0
