5838,state:4,Time:13:43:33,Lat:35.55491000,Lng:139.65566000,ax:-0.011111111111111112,ay:0.05333333333333334,az:  0.06,q:   0.0,rV:     0,lV:     0,Camera:captured!
13582,state:4,Time:13:43:41,Lat:35.55491000,Lng:139.65566000,ax:-0.0033333333333333335,ay:0.0011111111111111111,az:0.0044444444444444444,q:3.0625,rV:     0,lV:     0,Camera:0
14573,state:5,Time:13:43:42,Lat:35.55491000,Lng:139.65566000,ax:0.5488888888888889,ay:0.6188888888888889,az:-0.04555555555555556,q:357.8125,rV:    60,lV:    60,Camera:0
15771,state:6,Time:13:43:43,Lat:35.55491000,Lng:139.65566000,ax:0.7655555555555555,ay:0.44333333333333336,az:-0.1811111111111111,q:355.375,rV:    60,lV:    60,Camera:0
16494,state:6,Time:13:43:44,Lat:35.55491000,Lng:139.65566000,ax:-1.3766666666666667,ay:-0.43222222222222223,az:0.2877777777777778,q: 350.5,rV:    60,lV:    60,Camera:0
17195,state:6,Time:13:43:44,Lat:35.55491000,Lng:139.65566000,ax:-1.3988888888888888,ay:0.4311111111111111,az:0.20666666666666667,q:350.75,rV:    60,lV:    60,Camera:0
17202,state:6,Time:13:43:44,Lat:35.55491000,Lng:139.65566000,ax:-1.3988888888888888,ay:0.4311111111111111,az:0.20666666666666667,q:350.75,rV:    70,lV:    50,Camera:0
17462,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.36444444444444446,ay:-0.008888888888888889,az:0.5555555555555556,q:345.9375,rV:    70,lV:    50,Camera:0
17540,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.4388888888888889,ay:-0.2611111111111111,az:0.6144444444444445,q:343.125,rV:    70,lV:    50,Camera:0
17654,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:0.4166666666666667,ay:0.034444444444444444,az:0.41444444444444445,q:339.875,rV:    70,lV:    50,Camera:0
17699,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.11888888888888889,ay:-0.4177777777777778,az:0.7111111111111111,q:338.4375,rV:    70,lV:    50,Camera:0
17786,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.20444444444444446,ay:-0.8011111111111111,az:0.8655555555555555,q:335.375,rV:    70,lV:    50,Camera:0
17795,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.20444444444444446,ay:-0.8011111111111111,az:0.8655555555555555,q:334.875,rV:    70,lV:    50,Camera:0
17904,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-1.3811111111111112,ay:0.9255555555555556,az:0.7677777777777778,q:330.9375,rV:    70,lV:    50,Camera:0
17912,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-1.201111111111111,ay:  1.05,az:0.8155555555555556,q:330.4375,rV:    70,lV:    50,Camera:0
17982,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.9877777777777778,ay:   0.6,az:1.0277777777777777,q:327.4375,rV:    70,lV:    50,Camera:0
18075,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.1288888888888889,ay: -0.52,az:0.6911111111111111,q:323.125,rV:    70,lV:    50,Camera:0
18083,state:6,Time:13:43:45,Lat:35.55491000,Lng:139.65566000,ax:-0.024444444444444446,ay:-0.2633333333333333,az:0.7033333333333334,q:322.625,rV:    70,lV:    50,Camera:0
18360,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.18666666666666668,ay:-0.7633333333333333,az:0.4444444444444444,q:314.6875,rV:    70,lV:    50,Camera:0
18440,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.02666666666666667,ay:-0.056666666666666664,az:0.9177777777777778,q:312.375,rV:    70,lV:    50,Camera:0
18550,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:-0.28555555555555556,ay:-0.43222222222222223,az:1.0766666666666667,q:306.1875,rV:    70,lV:    50,Camera:0
18591,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:-0.22333333333333333,ay:-0.19333333333333333,az:0.9255555555555556,q:304.1875,rV:    70,lV:    50,Camera:0
18679,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.37666666666666665,ay:0.2811111111111111,az:0.6366666666666667,q:300.125,rV:    70,lV:    50,Camera:0
18687,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.37666666666666665,ay:0.2811111111111111,az:0.6366666666666667,q:299.75,rV:    70,lV:    50,Camera:0
18801,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:-0.021111111111111112,ay:-0.07111111111111111,az:0.5733333333333334,q:297.0625,rV:    70,lV:    50,Camera:0
18809,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.4033333333333333,ay:0.008888888888888889,az:0.5211111111111111,q:296.8125,rV:    70,lV:    50,Camera:0
18880,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.7233333333333334,ay:-0.41555555555555557,az:0.7177777777777777,q:293.8125,rV:    70,lV:    50,Camera:0
18971,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.47555555555555556,ay:-0.021111111111111112,az:0.38555555555555554,q:291.25,rV:    70,lV:    50,Camera:0
18979,state:6,Time:13:43:46,Lat:35.55491000,Lng:139.65566000,ax:0.47555555555555556,ay:-0.021111111111111112,az:0.38555555555555554,q:290.9375,rV:    60,lV:    60,Camera:0
19291,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.8722222222222222,ay:0.10111111111111111,az:-0.2088888888888889,q: 288.0,rV:    60,lV:    60,Camera:0
19378,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:1.1744444444444444,ay:0.18555555555555556,az:-0.5411111111111111,q:288.75,rV:    60,lV:    60,Camera:0
19491,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:-0.8488888888888889,ay:0.08777777777777777,az:0.6744444444444444,q:288.3125,rV:    60,lV:    60,Camera:0
19540,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.5955555555555555,ay:-0.0011111111111111111,az:0.20777777777777778,q: 287.5,rV:    60,lV:    60,Camera:0
19629,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.38555555555555554,ay:-0.23777777777777778,az:-0.034444444444444444,q:287.25,rV:    60,lV:    60,Camera:0
19639,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax:0.39444444444444443,ay:-0.10444444444444445,az:-0.04888888888888889,q:287.3125,rV:    60,lV:    60,Camera:0
19748,state:6,Time:13:43:47,Lat:35.55491000,Lng:139.65566000,ax: -0.81,ay:-0.5655555555555556,az:0.2911111111111111,q:286.1875,rV:    60,lV:    60,Camera:0
