5810,state:4,Time:13:45:37,Lat:35.55491500,Lng:139.65560667,ax:-0.0033333333333333335,ay:0.0022222222222222222,az:0.0044444444444444444,q:   0.0,rV:     0,lV:     0,Camera:captured!
13772,state:4,Time:13:45:45,Lat:35.55492000,Lng:139.65560333,ax:   0.0,ay:   0.0,az:-0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
14815,state:5,Time:13:45:46,Lat:35.55492167,Lng:139.65560333,ax:-0.14888888888888888,ay:0.23555555555555555,az:0.25666666666666665,q: 357.5,rV:    60,lV:    60,Camera:0
15972,state:6,Time:13:45:47,Lat:35.55492333,Lng:139.65560333,ax:-0.1111111111111111,ay:  -0.2,az:0.6355555555555555,q:354.4375,rV:    60,lV:    60,Camera:0
16750,state:6,Time:13:45:48,Lat:35.55492333,Lng:139.65560333,ax:0.1922222222222222,ay:0.8333333333333334,az:-0.3622222222222222,q:353.0625,rV:    60,lV:    60,Camera:0
17557,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:0.39444444444444443,ay:0.3377777777777778,az:0.035555555555555556,q: 346.0,rV:    60,lV:    60,Camera:0
17567,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:0.31666666666666665,ay:0.1922222222222222,az:  0.11,q: 346.0,rV:    50,lV:    70,Camera:0
17914,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax: -0.24,ay:-0.40444444444444444,az:-0.03666666666666667,q:351.125,rV:    50,lV:    70,Camera:0
18029,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:-0.5888888888888889,ay:0.03777777777777778,az: -0.67,q:354.125,rV:    50,lV:    70,Camera:0
18108,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:-0.6455555555555555,ay:0.5755555555555556,az:-0.6333333333333333,q:358.625,rV:    50,lV:    70,Camera:0
18150,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:0.7966666666666666,ay:0.6188888888888889,az:-0.6777777777777778,q:   0.0,rV:    50,lV:    70,Camera:0
18261,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:0.3522222222222222,ay:0.4111111111111111,az:-0.5355555555555556,q: 3.125,rV:    50,lV:    70,Camera:0
18300,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:0.2922222222222222,ay:-0.03333333333333333,az:-0.9633333333333334,q:5.1875,rV:    50,lV:    70,Camera:0
18388,state:6,Time:13:45:49,Lat:35.55492500,Lng:139.65560167,ax:-0.31777777777777777,ay:0.22333333333333333,az:-0.06444444444444444,q:7.4375,rV:    50,lV:    70,Camera:0
18474,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax:  0.18,ay:-1.3344444444444445,az:-0.5322222222222223,q: 10.25,rV:    50,lV:    70,Camera:0
18482,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax:0.4088888888888889,ay:-0.8133333333333334,az: -0.57,q:10.625,rV:    50,lV:    70,Camera:0
18582,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax:-0.29555555555555557,ay:0.7922222222222223,az:-0.9955555555555555,q:15.4375,rV:    50,lV:    70,Camera:0
18589,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax:-0.45444444444444443,ay:0.30333333333333334,az:-0.9666666666666667,q:15.9375,rV:    50,lV:    70,Camera:0
18949,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax:-0.34555555555555556,ay:-0.23666666666666666,az:-0.6766666666666666,q:28.875,rV:    50,lV:    70,Camera:0
19084,state:6,Time:13:45:50,Lat:35.55492500,Lng:139.65560167,ax: -0.65,ay:-0.28444444444444444,az:-0.27555555555555555,q:31.8125,rV:    50,lV:    70,Camera:0
