5769,state:4,Time:13:48:06,Lat:35.55492000,Lng:139.65563000,ax:-0.0033333333333333335,ay:-0.006666666666666667,az:-0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:captured!
13645,state:4,Time:13:48:14,Lat:35.55491833,Lng:139.65563000,ax:-0.0022222222222222222,ay:   0.0,az:   0.0,q:   0.0,rV:     0,lV:     0,Camera:0
14705,state:5,Time:13:48:15,Lat:35.55491667,Lng:139.65563000,ax:0.056666666666666664,ay:-0.05555555555555555,az:-0.0011111111111111111,q:5.1875,rV:    60,lV:    60,Camera:0
15883,state:6,Time:13:48:16,Lat:35.55491667,Lng:139.65563000,ax:0.2866666666666667,ay:-0.4177777777777778,az:-0.04777777777777778,q:6.3125,rV:    60,lV:    60,Camera:0
16631,state:6,Time:13:48:17,Lat:35.55491667,Lng:139.65563000,ax:0.13666666666666666,ay:-0.6188888888888889,az:-0.035555555555555556,q: 5.125,rV:    60,lV:    60,Camera:0
17409,state:6,Time:13:48:17,Lat:35.55491667,Lng:139.65563000,ax:0.10666666666666667,ay:-0.2011111111111111,az:-0.14555555555555555,q: 2.875,rV:    60,lV:    60,Camera:0
17416,state:6,Time:13:48:17,Lat:35.55491667,Lng:139.65563000,ax:0.10666666666666667,ay:-0.2011111111111111,az:-0.14555555555555555,q:2.9375,rV:    70,lV:    50,Camera:0
17715,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:0.5844444444444444,ay:-0.3811111111111111,az:0.3411111111111111,q:355.6875,rV:    70,lV:    50,Camera:0
17726,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:0.03888888888888889,ay:-0.16333333333333333,az:0.6366666666666667,q:355.1875,rV:    70,lV:    50,Camera:0
17857,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:0.2822222222222222,ay:-0.2511111111111111,az:0.30666666666666664,q:349.375,rV:    70,lV:    50,Camera:0
17979,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:0.19333333333333333,ay: -0.89,az:0.5655555555555556,q:347.6875,rV:    70,lV:    50,Camera:0
18071,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-0.057777777777777775,ay:-0.035555555555555556,az:  0.96,q:344.25,rV:    70,lV:    50,Camera:0
18153,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-0.28555555555555556,ay:0.5677777777777778,az:0.9111111111111111,q:340.375,rV:    70,lV:    50,Camera:0
18240,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-0.9833333333333333,ay: -0.31,az:0.7011111111111111,q:336.625,rV:    70,lV:    50,Camera:0
18325,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:  0.31,ay:  0.07,az:0.47333333333333333,q: 334.0,rV:    70,lV:    50,Camera:0
18375,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-1.1822222222222223,ay:-0.9133333333333333,az:  0.77,q:332.375,rV:    70,lV:    50,Camera:0
18448,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-1.1855555555555555,ay:0.33555555555555555,az:1.0144444444444445,q:329.8125,rV:    70,lV:    50,Camera:0
18455,state:6,Time:13:48:18,Lat:35.55491500,Lng:139.65563167,ax:-1.1744444444444444,ay:0.8822222222222222,az:0.7588888888888888,q:329.375,rV:    60,lV:    60,Camera:0
18772,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:-0.6277777777777778,ay:0.12444444444444444,az:0.1388888888888889,q:328.3125,rV:    60,lV:    60,Camera:0
18781,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:-0.6277777777777778,ay:0.12444444444444444,az:0.1388888888888889,q:328.25,rV:    60,lV:    60,Camera:0
18907,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:-0.15555555555555556,ay:0.12222222222222222,az:-0.034444444444444444,q:328.1875,rV:    60,lV:    60,Camera:0
19030,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:0.08666666666666667,ay:0.2411111111111111,az:  0.23,q:327.3125,rV:    60,lV:    60,Camera:0
19128,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:  0.45,ay:-0.29555555555555557,az:  0.17,q:326.125,rV:    60,lV:    60,Camera:0
19220,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:-0.44333333333333336,ay:-0.18666666666666668,az:0.10888888888888888,q:325.625,rV:    60,lV:    60,Camera:0
19307,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:-0.6266666666666667,ay:  0.33,az:0.21555555555555556,q:325.6875,rV:    60,lV:    60,Camera:0
19392,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax: -0.57,ay:-0.29777777777777775,az:0.12666666666666668,q:325.25,rV:    60,lV:    60,Camera:0
19435,state:6,Time:13:48:19,Lat:35.55491500,Lng:139.65563167,ax:0.3511111111111111,ay:-0.2088888888888889,az:-0.08888888888888889,q:325.6875,rV:    60,lV:    60,Camera:0
19514,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.11333333333333333,ay:-0.5277777777777778,az:-0.058888888888888886,q:325.875,rV:    60,lV:    60,Camera:0
19522,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.07333333333333333,ay:-0.2577777777777778,az:0.07666666666666666,q:325.75,rV:    60,lV:    60,Camera:0
19831,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:  0.02,ay:-0.09111111111111111,az:-0.2311111111111111,q: 322.5,rV:    60,lV:    60,Camera:0
19843,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax: -0.05,ay:-0.5333333333333333,az:-0.13333333333333333,q:322.5625,rV:    60,lV:    60,Camera:0
19976,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.5555555555555556,ay:-0.06888888888888889,az:0.6166666666666667,q:323.25,rV:    60,lV:    60,Camera:0
20087,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:-0.6433333333333333,ay:-0.39444444444444443,az:-0.13777777777777778,q:322.4375,rV:    60,lV:    60,Camera:0
20169,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:-0.35555555555555557,ay:0.07222222222222222,az:0.05444444444444444,q:321.9375,rV:    60,lV:    60,Camera:0
20254,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.24444444444444444,ay:-0.4722222222222222,az: -0.08,q:322.125,rV:    60,lV:    60,Camera:0
20337,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.41555555555555557,ay:0.17222222222222222,az: -0.05,q:322.375,rV:    60,lV:    60,Camera:0
20421,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:0.6422222222222222,ay:0.1388888888888889,az:-0.18444444444444444,q:322.4375,rV:    60,lV:    60,Camera:0
20466,state:6,Time:13:48:20,Lat:35.55491333,Lng:139.65563167,ax:  0.46,ay:  0.71,az: -0.21,q:322.9375,rV:    60,lV:    60,Camera:0
20539,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.3611111111111111,ay:-0.04666666666666667,az:-0.025555555555555557,q: 323.0,rV:    60,lV:    60,Camera:0
20547,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.3611111111111111,ay:-0.04666666666666667,az:-0.025555555555555557,q:323.0625,rV:    70,lV:    50,Camera:0
20832,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:-0.7511111111111111,ay:-0.47888888888888886,az:  0.88,q:315.75,rV:    70,lV:    50,Camera:0
20844,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:-0.6811111111111111,ay:-0.43444444444444447,az:0.8055555555555556,q:314.8125,rV:    70,lV:    50,Camera:0
20966,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:-0.44333333333333336,ay:-0.5644444444444444,az:0.6633333333333333,q: 310.0,rV:    70,lV:    50,Camera:0
21076,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.1411111111111111,ay:0.8566666666666667,az:0.37444444444444447,q:306.3125,rV:    70,lV:    50,Camera:0
21168,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.6044444444444445,ay:-0.17222222222222222,az:0.5833333333333334,q: 303.5,rV:    70,lV:    50,Camera:0
21254,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.4266666666666667,ay:-0.28444444444444444,az:0.35777777777777775,q: 300.5,rV:    70,lV:    50,Camera:0
21334,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:-0.29777777777777775,ay:0.5344444444444445,az:0.7022222222222222,q:298.75,rV:    70,lV:    50,Camera:0
21419,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:-0.6466666666666666,ay:0.11222222222222222,az:  0.73,q:295.625,rV:    70,lV:    50,Camera:0
21466,state:6,Time:13:48:21,Lat:35.55491333,Lng:139.65563167,ax:0.41444444444444445,ay:0.16666666666666666,az:  0.58,q:294.6875,rV:    70,lV:    50,Camera:0
21538,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:0.5488888888888889,ay:-0.8088888888888889,az:  0.47,q:291.9375,rV:    70,lV:    50,Camera:0
21547,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:  0.11,ay:-0.5711111111111111,az:0.6455555555555555,q: 291.5,rV:    70,lV:    50,Camera:0
21848,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:-0.32555555555555554,ay:  0.42,az:0.6055555555555555,q:280.9375,rV:    70,lV:    50,Camera:0
21859,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:0.23333333333333334,ay:0.06333333333333334,az:0.4688888888888889,q:280.9375,rV:    70,lV:    50,Camera:0
21989,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax: -0.16,ay:-0.5333333333333333,az:  0.75,q: 275.5,rV:    70,lV:    50,Camera:0
22107,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:-0.035555555555555556,ay:0.2733333333333333,az:0.6933333333333334,q:271.25,rV:    70,lV:    50,Camera:0
22192,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:0.7133333333333334,ay:-0.09444444444444444,az:0.4922222222222222,q:268.625,rV:    70,lV:    50,Camera:0
22281,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:0.8911111111111111,ay:-0.023333333333333334,az:0.5555555555555556,q: 265.5,rV:    70,lV:    50,Camera:0
22362,state:6,Time:13:48:22,Lat:35.55491167,Lng:139.65563167,ax:  -0.4,ay:-0.18888888888888888,az:  0.99,q:260.75,rV:    70,lV:    50,Camera:0
