5846,state:4,Time:13:58:33,Lat:35.55492500,Lng:139.65566000,ax:0.0011111111111111111,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
13731,state:4,Time:13:58:41,Lat:35.55492333,Lng:139.65566000,ax:-0.0011111111111111111,ay:0.0011111111111111111,az:0.0011111111111111111,q:359.9375,rV:     0,lV:     0,Camera:0
14808,state:5,Time:13:58:42,Lat:35.55492333,Lng:139.65566000,ax:  0.01,ay: -0.75,az: -0.04,q:358.6875,rV:    60,lV:    60,Camera:0
15961,state:6,Time:13:58:43,Lat:35.55492333,Lng:139.65566167,ax:-0.057777777777777775,ay:0.28444444444444444,az:0.03888888888888889,q:353.9375,rV:    60,lV:    60,Camera:0
16718,state:6,Time:13:58:44,Lat:35.55492167,Lng:139.65566000,ax:0.7355555555555555,ay:-0.7833333333333333,az:-0.37666666666666665,q:356.75,rV:    60,lV:    60,Camera:0
17499,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-0.6122222222222222,ay:0.6255555555555555,az:0.5333333333333333,q:353.6875,rV:    60,lV:    60,Camera:0
17509,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-0.4122222222222222,ay:0.005555555555555556,az:0.4088888888888889,q:353.4375,rV:    50,lV:    70,Camera:0
17839,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-0.027777777777777776,ay:  -0.1,az:-0.8644444444444445,q:2.0625,rV:    50,lV:    70,Camera:0
17877,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-0.37444444444444447,ay:-0.7055555555555556,az:-0.3088888888888889,q:3.1875,rV:    50,lV:    70,Camera:0
17886,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-0.37444444444444447,ay:-0.7055555555555556,az:-0.3088888888888889,q:3.3125,rV:    50,lV:    70,Camera:0
17970,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:0.5766666666666667,ay: -1.07,az:-0.2688888888888889,q:5.0625,rV:    50,lV:    70,Camera:0
18046,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:0.9188888888888889,ay:-0.6988888888888889,az:-1.0544444444444445,q:7.1875,rV:    50,lV:    70,Camera:0
18057,state:6,Time:13:58:45,Lat:35.55492000,Lng:139.65566000,ax:-35.172222222222224,ay:-0.14555555555555555,az:-1.3133333333333332,q:   8.0,rV:    50,lV:    70,Camera:0
