5795,state:4,Time:14:01:34,Lat:35.55489333,Lng:139.65561667,ax:0.0022222222222222222,ay:0.024444444444444446,az:0.0011111111111111111,q:359.875,rV:     0,lV:     0,Camera:captured!
13713,state:4,Time:14:01:42,Lat:35.55489333,Lng:139.65561667,ax:-0.0022222222222222222,ay:0.2866666666666667,az:-0.09888888888888889,q:37.3125,rV:     0,lV:     0,Camera:0
14746,state:5,Time:14:01:43,Lat:35.55489333,Lng:139.65561667,ax:  0.31,ay: -1.11,az:0.16666666666666666,q:27.5625,rV:    60,lV:    60,Camera:0
15918,state:6,Time:14:01:44,Lat:35.55489333,Lng:139.65561667,ax:-0.24333333333333335,ay:  0.27,az:-0.2877777777777778,q:12.1875,rV:    60,lV:    60,Camera:0
16721,state:6,Time:14:01:45,Lat:35.55489333,Lng:139.65561667,ax:0.9477777777777778,ay:-0.6044444444444445,az:-0.09555555555555556,q: 8.375,rV:    60,lV:    60,Camera:0
17508,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:  0.74,ay:-0.4011111111111111,az:  0.03,q:5.3125,rV:    60,lV:    60,Camera:0
17518,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:   0.8,ay:-0.5055555555555555,az:0.08777777777777777,q:5.3125,rV:    70,lV:    50,Camera:0
17844,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:0.4855555555555556,ay:0.021111111111111112,az:0.6244444444444445,q:353.8125,rV:    70,lV:    50,Camera:0
17918,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:-0.6633333333333333,ay:0.42444444444444446,az:0.9588888888888889,q:350.9375,rV:    70,lV:    50,Camera:0
17998,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:0.31555555555555553,ay:-0.7655555555555555,az:1.2177777777777778,q:345.8125,rV:    70,lV:    50,Camera:0
18078,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:0.10444444444444445,ay:0.0044444444444444444,az:0.6744444444444444,q:342.3125,rV:    70,lV:    50,Camera:0
18185,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:0.2922222222222222,ay:-0.8666666666666667,az:0.3088888888888889,q: 339.0,rV:    70,lV:    50,Camera:0
18227,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:-0.18555555555555556,ay:-0.12444444444444444,az:0.6311111111111111,q:337.75,rV:    70,lV:    50,Camera:0
18235,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:0.04666666666666667,ay:0.11777777777777777,az:0.6888888888888889,q:337.375,rV:    70,lV:    50,Camera:0
18287,state:6,Time:14:01:46,Lat:35.55489333,Lng:139.65561667,ax:-0.8466666666666667,ay:-0.21555555555555556,az:0.8155555555555556,q:335.1875,rV:    70,lV:    50,Camera:0
18371,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.9322222222222222,ay:0.07555555555555556,az:0.3511111111111111,q:332.75,rV:    70,lV:    50,Camera:0
18465,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:  0.79,ay:0.6355555555555555,az:0.4766666666666667,q:330.9375,rV:    70,lV:    50,Camera:0
18472,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:0.6644444444444444,ay:0.013333333333333334,az:0.5111111111111111,q:330.9375,rV:    60,lV:    60,Camera:0
18799,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:  0.07,ay:0.19555555555555557,az:  0.13,q:324.3125,rV:    60,lV:    60,Camera:0
18874,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:0.31222222222222223,ay:0.24333333333333335,az:  0.39,q:323.0625,rV:    60,lV:    60,Camera:0
18952,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.11666666666666667,ay:-0.5111111111111111,az:0.06333333333333334,q:321.0625,rV:    60,lV:    60,Camera:0
19035,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.13333333333333333,ay:0.41444444444444445,az:0.06555555555555556,q:321.3125,rV:    60,lV:    60,Camera:0
19156,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:0.014444444444444444,ay:0.3977777777777778,az:0.39444444444444443,q: 320.0,rV:    60,lV:    60,Camera:0
19201,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.07666666666666666,ay:0.5311111111111111,az:0.17333333333333334,q:319.375,rV:    60,lV:    60,Camera:0
19212,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.3277777777777778,ay:-0.2222222222222222,az:0.11444444444444445,q:319.25,rV:    60,lV:    60,Camera:0
19275,state:6,Time:14:01:47,Lat:35.55489333,Lng:139.65561667,ax:-0.08666666666666667,ay:-0.8177777777777778,az:-0.07666666666666666,q:319.0625,rV:    60,lV:    60,Camera:0
19366,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.24888888888888888,ay:  0.27,az:-0.05444444444444444,q: 320.0,rV:    60,lV:    60,Camera:0
19465,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.1711111111111111,ay:0.27111111111111114,az:0.16111111111111112,q:318.9375,rV:    60,lV:    60,Camera:0
19474,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.13555555555555557,ay:-0.06222222222222222,az:0.17777777777777778,q:318.9375,rV:    60,lV:    60,Camera:0
19800,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax: -0.84,ay:0.03222222222222222,az:  0.24,q:316.8125,rV:    60,lV:    60,Camera:0
19878,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.23222222222222222,ay:-0.25555555555555554,az:0.2911111111111111,q:316.0625,rV:    60,lV:    60,Camera:0
19956,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.0044444444444444444,ay:0.31222222222222223,az:0.4766666666666667,q:314.8125,rV:    60,lV:    60,Camera:0
20035,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.18333333333333332,ay:-0.6711111111111111,az:0.22666666666666666,q:314.1875,rV:    60,lV:    60,Camera:0
20144,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.8355555555555556,ay:0.07222222222222222,az:0.29333333333333333,q:312.6875,rV:    60,lV:    60,Camera:0
20190,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.36777777777777776,ay:  0.13,az: -0.09,q: 312.5,rV:    60,lV:    60,Camera:0
20199,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:-0.09888888888888889,ay:-0.05444444444444444,az:0.09888888888888889,q:312.375,rV:    60,lV:    60,Camera:0
20252,state:6,Time:14:01:48,Lat:35.55489333,Lng:139.65561667,ax:0.9155555555555556,ay:0.13333333333333333,az:-0.16111111111111112,q:312.0625,rV:    60,lV:    60,Camera:0
20338,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.9411111111111111,ay:-0.31333333333333335,az:0.04111111111111111,q:311.9375,rV:    60,lV:    60,Camera:0
20437,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:  0.31,ay:-0.10333333333333333,az:0.2788888888888889,q:311.1875,rV:    60,lV:    60,Camera:0
20444,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.4222222222222222,ay:-36.28777777777778,az:0.17888888888888888,q:311.0625,rV:    60,lV:    60,Camera:0
20759,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.40555555555555556,ay:0.23666666666666666,az:0.12222222222222222,q:310.125,rV:    60,lV:    60,Camera:0
20840,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.014444444444444444,ay:-0.46555555555555556,az:  0.42,q: 309.0,rV:    60,lV:    60,Camera:0
20917,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:  0.57,ay:-0.30666666666666664,az:0.18666666666666668,q: 308.0,rV:    60,lV:    60,Camera:0
20995,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.7577777777777778,ay:0.5422222222222223,az:-0.0022222222222222222,q:307.5625,rV:    60,lV:    60,Camera:0
21107,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.2911111111111111,ay:-0.5166666666666667,az:0.2588888888888889,q: 306.5,rV:    60,lV:    60,Camera:0
21164,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.056666666666666664,ay:-0.2866666666666667,az:0.27666666666666667,q:305.125,rV:    60,lV:    60,Camera:0
21173,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:-0.1922222222222222,ay:-0.09222222222222222,az:  0.32,q:304.9375,rV:    60,lV:    60,Camera:0
21218,state:6,Time:14:01:49,Lat:35.55489333,Lng:139.65561667,ax:0.10555555555555556,ay:0.10666666666666667,az:-0.17444444444444446,q:304.8125,rV:    60,lV:    60,Camera:0
21305,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.03333333333333333,ay:-0.31444444444444447,az:0.4288888888888889,q:304.25,rV:    60,lV:    60,Camera:0
21401,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.14666666666666667,ay:0.013333333333333334,az:0.13555555555555557,q:302.5625,rV:    60,lV:    60,Camera:0
21411,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.2288888888888889,ay:-0.6366666666666667,az:  0.18,q:302.375,rV:    70,lV:    50,Camera:0
21731,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:-0.09777777777777778,ay:0.2866666666666667,az:0.8088888888888889,q:294.6875,rV:    70,lV:    50,Camera:0
21815,state:6,Time:14:01:50,Lat:35.55489333,Lng:139.65561667,ax:0.34555555555555556,ay:0.06111111111111111,az:0.6188888888888889,q:291.4375,rV:    70,lV:    50,Camera:0
