5835,state:4,Time:14:07:17,Lat:35.55484667,Lng:139.65562000,ax:   0.0,ay:0.0011111111111111111,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:captured!
13738,state:4,Time:14:07:25,Lat:35.55485000,Lng:139.65561333,ax:-0.0011111111111111111,ay:-0.0022222222222222222,az:0.0022222222222222222,q:   0.0,rV:     0,lV:     0,Camera:0
14881,state:5,Time:14:07:26,Lat:35.55485167,Lng:139.65561167,ax:-0.8877777777777778,ay:   0.5,az:-0.056666666666666664,q:355.5625,rV:    60,lV:    60,Camera:0
16067,state:6,Time:14:07:27,Lat:35.55485167,Lng:139.65561000,ax:-0.7288888888888889,ay:1.0577777777777777,az:0.3488888888888889,q:352.625,rV:    60,lV:    60,Camera:0
16966,state:6,Time:14:07:28,Lat:35.55485333,Lng:139.65560833,ax:0.6433333333333333,ay:0.19555555555555557,az:-0.41888888888888887,q:351.75,rV:    60,lV:    60,Camera:0
17897,state:6,Time:14:07:29,Lat:35.55485333,Lng:139.65560667,ax:0.6444444444444445,ay:0.7055555555555556,az:0.08666666666666667,q:356.25,rV:    60,lV:    60,Camera:0
17907,state:6,Time:14:07:29,Lat:35.55485333,Lng:139.65560667,ax:-0.2222222222222222,ay:0.9688888888888889,az:0.4077777777777778,q: 356.0,rV:    50,lV:    70,Camera:0
18244,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:0.9833333333333333,ay:-0.19777777777777777,az:-1.1966666666666668,q:2.9375,rV:    50,lV:    70,Camera:0
18330,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.023333333333333334,ay:0.11666666666666667,az:-0.025555555555555557,q:  5.75,rV:    50,lV:    70,Camera:0
18454,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.14444444444444443,ay:-0.8588888888888889,az:-0.044444444444444446,q:5.9375,rV:    50,lV:    70,Camera:0
18544,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-1.1755555555555555,ay:0.6077777777777778,az:-0.6222222222222222,q:7.5625,rV:    50,lV:    70,Camera:0
18597,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:0.6266666666666667,ay:-0.3111111111111111,az:-1.201111111111111,q:10.3125,rV:    50,lV:    70,Camera:0
18723,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:0.8155555555555556,ay:-0.9077777777777778,az:-0.5522222222222222,q:15.1875,rV:    50,lV:    70,Camera:0
18803,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:0.3433333333333333,ay:-0.005555555555555556,az:-0.38555555555555554,q:16.5625,rV:    50,lV:    70,Camera:0
18918,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.13666666666666666,ay:0.4311111111111111,az:-0.9344444444444444,q:  19.0,rV:    50,lV:    70,Camera:0
18928,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.06777777777777778,ay:0.08444444444444445,az:-1.0455555555555556,q:19.5625,rV:    50,lV:    70,Camera:0
19029,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.5866666666666667,ay:-0.13777777777777778,az:-0.7677777777777778,q:25.625,rV:    50,lV:    70,Camera:0
19036,state:6,Time:14:07:30,Lat:35.55485333,Lng:139.65560500,ax:-0.18333333333333332,ay:-0.6088888888888889,az:-0.6055555555555555,q:  26.0,rV:    70,lV:    50,Camera:0
19365,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:0.8066666666666666,ay:1.3877777777777778,az:0.5688888888888889,q:22.1875,rV:    70,lV:    50,Camera:0
19450,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:-0.05444444444444444,ay:-0.44222222222222224,az:0.6255555555555555,q:18.9375,rV:    70,lV:    50,Camera:0
19575,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:  0.46,ay:-0.7166666666666667,az:0.2822222222222222,q:14.8125,rV:    70,lV:    50,Camera:0
19671,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:0.8722222222222222,ay: -0.64,az:0.9922222222222222,q:  11.5,rV:    70,lV:    50,Camera:0
19723,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:-0.014444444444444444,ay:-0.005555555555555556,az:0.6044444444444445,q: 8.875,rV:    70,lV:    50,Camera:0
19843,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:-0.08444444444444445,ay:-0.17555555555555555,az:0.7944444444444444,q:   5.0,rV:    70,lV:    50,Camera:0
19929,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:0.8811111111111111,ay:-0.6822222222222222,az:  0.18,q:1.5625,rV:    70,lV:    50,Camera:0
20040,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:0.38666666666666666,ay:0.18222222222222223,az:0.3488888888888889,q:359.125,rV:    70,lV:    50,Camera:0
20049,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:0.8077777777777778,ay:-0.09222222222222222,az:0.4688888888888889,q:358.875,rV:    70,lV:    50,Camera:0
20148,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax:-0.1622222222222222,ay:-0.32555555555555554,az:0.6688888888888889,q:353.9375,rV:    70,lV:    50,Camera:0
20155,state:6,Time:14:07:31,Lat:35.55485500,Lng:139.65560333,ax: -0.75,ay: -0.02,az:1.0855555555555556,q:353.1875,rV:    70,lV:    50,Camera:0
20502,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax: -0.37,ay:0.5911111111111111,az:0.9055555555555556,q:343.9375,rV:    70,lV:    50,Camera:0
20588,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:-0.6655555555555556,ay:0.13333333333333333,az:0.5988888888888889,q:340.375,rV:    70,lV:    50,Camera:0
20700,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:  0.03,ay:0.1811111111111111,az:0.5966666666666667,q:336.1875,rV:    70,lV:    50,Camera:0
20781,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:0.33666666666666667,ay:-0.2677777777777778,az:0.7444444444444445,q:333.8125,rV:    70,lV:    50,Camera:0
20828,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:0.052222222222222225,ay:-0.8922222222222222,az:0.5733333333333334,q:332.25,rV:    70,lV:    50,Camera:0
20943,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:0.7633333333333333,ay:-0.3111111111111111,az:0.47888888888888886,q:328.25,rV:    70,lV:    50,Camera:0
21020,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax:0.3622222222222222,ay:-0.19777777777777777,az:0.7066666666666667,q:324.625,rV:    70,lV:    50,Camera:0
21132,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax: -0.35,ay:-0.4122222222222222,az:0.6711111111111111,q:319.0625,rV:    70,lV:    50,Camera:0
21141,state:6,Time:14:07:32,Lat:35.55485500,Lng:139.65560167,ax: -0.35,ay:-0.4122222222222222,az:0.6711111111111111,q:318.75,rV:    70,lV:    50,Camera:0
21244,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:0.29333333333333333,ay:-0.6577777777777778,az:0.5677777777777778,q: 314.5,rV:    70,lV:    50,Camera:0
21252,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:0.29333333333333333,ay:-0.6577777777777778,az:0.5677777777777778,q:314.25,rV:    70,lV:    50,Camera:0
21554,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:-1.0033333333333334,ay:-0.27444444444444444,az:0.9911111111111112,q:305.625,rV:    70,lV:    50,Camera:0
21634,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:-0.32666666666666666,ay:0.7166666666666667,az:0.7288888888888889,q:301.4375,rV:    70,lV:    50,Camera:0
21751,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:-0.38666666666666666,ay:-35.32111111111111,az:1.0922222222222222,q:297.5625,rV:    70,lV:    50,Camera:0
21818,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:-0.34555555555555556,ay:-0.07666666666666666,az:0.6677777777777778,q:294.875,rV:    70,lV:    50,Camera:0
21872,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:  0.71,ay:0.08222222222222222,az:0.4288888888888889,q:294.0625,rV:    70,lV:    50,Camera:0
21988,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:0.05555555555555555,ay:0.22111111111111112,az:0.6611111111111111,q:289.8125,rV:    70,lV:    50,Camera:0
22066,state:6,Time:14:07:33,Lat:35.55485667,Lng:139.65560000,ax:1.0422222222222222,ay:-0.10444444444444445,az:0.2911111111111111,q: 287.5,rV:    70,lV:    50,Camera:0
22181,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-1.1711111111111112,ay:  1.05,az:0.7588888888888888,q:283.3125,rV:    70,lV:    50,Camera:0
22192,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-0.5455555555555556,ay:1.0066666666666666,az:0.6833333333333333,q:283.3125,rV:    70,lV:    50,Camera:0
22293,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:0.04777777777777778,ay:-0.3211111111111111,az:0.4177777777777778,q:280.125,rV:    70,lV:    50,Camera:0
22301,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-0.2544444444444444,ay:0.1411111111111111,az:  0.39,q:279.875,rV:    70,lV:    50,Camera:0
22614,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:0.06777777777777778,ay:-0.4166666666666667,az:  0.83,q: 269.0,rV:    70,lV:    50,Camera:0
22694,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:0.23777777777777778,ay:-0.09555555555555556,az:0.5177777777777778,q:266.125,rV:    70,lV:    50,Camera:0
22808,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:0.4822222222222222,ay:0.9422222222222222,az:0.2722222222222222,q:262.125,rV:    70,lV:    50,Camera:0
22888,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:0.3488888888888889,ay:-1.771111111111111,az:0.27666666666666667,q:260.75,rV:    70,lV:    50,Camera:0
22930,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-0.03111111111111111,ay:-0.31444444444444447,az:0.9966666666666667,q:259.0625,rV:    70,lV:    50,Camera:0
23042,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-0.1411111111111111,ay:0.17222222222222222,az:  0.81,q:254.0625,rV:    70,lV:    50,Camera:0
23121,state:6,Time:14:07:34,Lat:35.55485667,Lng:139.65559833,ax:-0.5122222222222222,ay:-0.4411111111111111,az:0.8677777777777778,q: 251.0,rV:    70,lV:    50,Camera:0
23236,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:0.12222222222222222,ay:  -0.7,az:0.3988888888888889,q:247.625,rV:    70,lV:    50,Camera:0
23246,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:-0.4722222222222222,ay:-0.5222222222222223,az:0.6411111111111111,q:247.125,rV:    70,lV:    50,Camera:0
23358,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:-0.30444444444444446,ay: -0.37,az:0.6322222222222222,q:244.3125,rV:    70,lV:    50,Camera:0
23365,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:  0.08,ay:-0.5033333333333333,az:0.7111111111111111,q:243.9375,rV:    50,lV:    70,Camera:0
23667,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:0.5022222222222222,ay:0.5122222222222222,az:-0.5855555555555556,q: 248.5,rV:    50,lV:    70,Camera:0
23744,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:0.20777777777777778,ay:   0.2,az: -1.06,q:251.875,rV:    50,lV:    70,Camera:0
23857,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:-0.1988888888888889,ay:0.8011111111111111,az:-0.2811111111111111,q: 255.0,rV:    50,lV:    70,Camera:0
23937,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:-0.9322222222222222,ay:-0.5711111111111111,az:-0.41333333333333333,q:255.1875,rV:    50,lV:    70,Camera:0
23984,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:-0.19777777777777777,ay:0.5111111111111111,az:-0.9633333333333334,q:257.125,rV:    50,lV:    70,Camera:0
24109,state:6,Time:14:07:35,Lat:35.55485667,Lng:139.65559667,ax:0.6322222222222222,ay:0.6511111111111111,az:-1.1555555555555554,q:264.3125,rV:    50,lV:    70,Camera:0
24187,state:6,Time:14:07:36,Lat:35.55485667,Lng:139.65559500,ax:0.03333333333333333,ay:-0.4888888888888889,az:-0.3622222222222222,q:266.625,rV:    50,lV:    70,Camera:0
24304,state:6,Time:14:07:36,Lat:35.55485667,Lng:139.65559500,ax:0.10777777777777778,ay:-0.7888888888888889,az: -0.45,q:268.375,rV:    50,lV:    70,Camera:0
24313,state:6,Time:14:07:36,Lat:35.55485667,Lng:139.65559500,ax:-0.21666666666666667,ay:-0.31333333333333335,az:-0.4011111111111111,q:268.5625,rV:    50,lV:    70,Camera:0
24414,state:6,Time:14:07:36,Lat:35.55485667,Lng:139.65559500,ax:  -0.1,ay:-0.024444444444444446,az:-0.8677777777777778,q:272.875,rV:    50,lV:    70,Camera:0
24422,state:6,Time:14:07:36,Lat:35.55485667,Lng:139.65559500,ax:0.9777777777777777,ay:-0.028888888888888888,az:-0.9288888888888889,q:273.375,rV:    50,lV:    70,Camera:0
