5796,state:4,Time:14:19:38,Lat:35.55487667,Lng:139.65567500,ax:   0.0,ay:0.0033333333333333335,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:captured!
13712,state:4,Time:14:19:46,Lat:35.55487667,Lng:139.65566667,ax:0.0022222222222222222,ay:0.0011111111111111111,az:   0.0,q:359.9375,rV:     0,lV:     0,Camera:0
14798,state:5,Time:14:19:47,Lat:35.55487500,Lng:139.65566500,ax:0.10222222222222223,ay:-0.5688888888888889,az:0.043333333333333335,q:   3.5,rV:    60,lV:    60,Camera:0
15986,state:6,Time:14:19:48,Lat:35.55487500,Lng:139.65566333,ax:-0.39222222222222225,ay: -0.48,az:-0.18777777777777777,q: 6.125,rV:    60,lV:    60,Camera:0
16822,state:6,Time:14:19:49,Lat:35.55487500,Lng:139.65566000,ax:0.5911111111111111,ay:0.5655555555555556,az:0.13333333333333333,q:  10.0,rV:    60,lV:    60,Camera:0
17663,state:6,Time:14:19:50,Lat:35.55487500,Lng:139.65565667,ax:0.44666666666666666,ay: -0.07,az:-0.2011111111111111,q:6.4375,rV:    60,lV:    60,Camera:0
17670,state:6,Time:14:19:50,Lat:35.55487500,Lng:139.65565667,ax:0.18888888888888888,ay:  0.02,az:-0.2833333333333333,q:6.4375,rV:    50,lV:    70,Camera:0
18012,state:6,Time:14:19:50,Lat:35.55487500,Lng:139.65565667,ax:0.13666666666666666,ay:1.0277777777777777,az:-0.5688888888888889,q:13.9375,rV:    50,lV:    70,Camera:0
18136,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:0.44555555555555554,ay:-0.7644444444444445,az:  -0.5,q:17.9375,rV:    50,lV:    70,Camera:0
18144,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:0.44555555555555554,ay:-0.7644444444444445,az:  -0.5,q:18.1875,rV:    50,lV:    70,Camera:0
18235,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:-1.0055555555555555,ay:-0.36333333333333334,az:-0.06333333333333334,q:19.625,rV:    50,lV:    70,Camera:0
18332,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:-0.01888888888888889,ay:0.7066666666666667,az:-0.7611111111111111,q:22.375,rV:    50,lV:    70,Camera:0
18417,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:-0.45555555555555555,ay:-0.37777777777777777,az:-0.7322222222222222,q:24.6875,rV:    50,lV:    70,Camera:0
18473,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:  0.59,ay:-0.7511111111111111,az:-0.7544444444444445,q:26.875,rV:    50,lV:    70,Camera:0
18596,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:-0.01888888888888889,ay: -0.13,az:-0.9833333333333333,q:33.3125,rV:    50,lV:    70,Camera:0
18640,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:-0.20333333333333334,ay:0.43666666666666665,az:-0.49444444444444446,q:34.625,rV:    50,lV:    70,Camera:0
18744,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:0.7477777777777778,ay:-0.7544444444444445,az:-0.7977777777777778,q:37.8125,rV:    50,lV:    70,Camera:0
18752,state:6,Time:14:19:51,Lat:35.55487333,Lng:139.65565000,ax:0.4666666666666667,ay:  0.21,az:-0.7633333333333333,q:38.1875,rV:    60,lV:    60,Camera:0
19082,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.04111111111111111,ay:-0.3433333333333333,az:  0.13,q:42.375,rV:    60,lV:    60,Camera:0
19201,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax: -0.11,ay:-0.9655555555555555,az:0.42777777777777776,q:41.4375,rV:    60,lV:    60,Camera:0
19210,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.7222222222222222,ay:-1.1577777777777778,az:0.4822222222222222,q:41.1875,rV:    60,lV:    60,Camera:0
19302,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax: -1.42,ay:0.6344444444444445,az:-0.25555555555555554,q:41.1875,rV:    60,lV:    60,Camera:0
19393,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.6311111111111111,ay:0.7333333333333333,az:-0.18555555555555556,q:41.625,rV:    60,lV:    60,Camera:0
19482,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.4988888888888889,ay:0.3788888888888889,az:0.1688888888888889,q:41.6875,rV:    60,lV:    60,Camera:0
19530,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.09888888888888889,ay:0.4211111111111111,az:  0.17,q:41.5625,rV:    60,lV:    60,Camera:0
19651,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:0.8177777777777778,ay: -0.41,az:-0.14777777777777779,q:42.8125,rV:    60,lV:    60,Camera:0
19691,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.35777777777777775,ay:0.20444444444444446,az:0.09555555555555556,q:42.9375,rV:    60,lV:    60,Camera:0
19798,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.9822222222222222,ay:0.1411111111111111,az:0.07888888888888888,q:43.1875,rV:    60,lV:    60,Camera:0
19806,state:6,Time:14:19:52,Lat:35.55487167,Lng:139.65564333,ax:-0.37666666666666665,ay:-0.39555555555555555,az:0.0077777777777777776,q:43.375,rV:    60,lV:    60,Camera:0
20154,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:0.3477777777777778,ay:-0.4633333333333333,az:0.017777777777777778,q:43.0625,rV:    60,lV:    60,Camera:0
20272,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.4766666666666667,ay:0.5766666666666667,az:-0.15888888888888889,q:43.125,rV:    60,lV:    60,Camera:0
20280,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.4766666666666667,ay:0.5766666666666667,az:-0.15888888888888889,q:  43.0,rV:    60,lV:    60,Camera:0
20366,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:  0.01,ay:-0.14888888888888888,az:-0.034444444444444444,q:43.1875,rV:    60,lV:    60,Camera:0
20459,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.20666666666666667,ay:-1.5144444444444445,az:0.25666666666666665,q:43.1875,rV:    60,lV:    60,Camera:0
20550,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.9244444444444444,ay:0.6311111111111111,az:0.26555555555555554,q:41.875,rV:    60,lV:    60,Camera:0
20604,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.47888888888888886,ay:0.6877777777777778,az:-0.1111111111111111,q:42.1875,rV:    60,lV:    60,Camera:0
20722,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.06888888888888889,ay:0.21666666666666667,az:-0.21222222222222223,q: 43.25,rV:    60,lV:    60,Camera:0
20769,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:-0.17333333333333334,ay:0.3244444444444444,az:-0.06666666666666667,q: 43.75,rV:    60,lV:    60,Camera:0
20873,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:0.1922222222222222,ay:0.13111111111111112,az:-0.22555555555555556,q:43.875,rV:    60,lV:    60,Camera:0
20879,state:6,Time:14:19:53,Lat:35.55487000,Lng:139.65563833,ax:0.1922222222222222,ay:0.13111111111111112,az:-0.22555555555555556,q:43.875,rV:    60,lV:    60,Camera:0
